word,condition,run,stimFile
woda,CON,2,resources/audio/con_run2_001.wav
ciastko,CON,2,resources/audio/con_run2_002.wav
kurczak,CON,2,resources/audio/con_run2_003.wav
las,CON,2,resources/audio/con_run2_004.wav
szynka,CON,2,resources/audio/con_run2_005.wav
rower,CON,2,resources/audio/con_run2_006.wav
ulica,CON,2,resources/audio/con_run2_007.wav
pociąg,CON,2,resources/audio/con_run2_008.wav
nietoperz,CON,2,resources/audio/con_run2_009.wav
dzwon,CON,2,resources/audio/con_run2_010.wav
krawat,CON,2,resources/audio/con_run2_011.wav
klucz,CON,2,resources/audio/con_run2_012.wav
dziewczyna,CON,2,resources/audio/con_run2_013.wav
piłka,CON,2,resources/audio/con_run2_014.wav
kret,CON,2,resources/audio/con_run2_015.wav
dach,CON,2,resources/audio/con_run2_016.wav
owca,CON,2,resources/audio/con_run2_017.wav
kapelusz,CON,2,resources/audio/con_run2_018.wav
kula,CON,2,resources/audio/con_run2_019.wav
kominek,CON,2,resources/audio/con_run2_020.wav
list,CON,2,resources/audio/con_run2_021.wav
namiot,CON,2,resources/audio/con_run2_022.wav
krzesło,CON,2,resources/audio/con_run2_023.wav
maszyna,CON,2,resources/audio/con_run2_024.wav
